### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/user/repos/cacb-batchtools/eq1'
Loading required package: data.table
Loading required package: R6
Loading required package: mlr3
Loading required package: mlr3learners
Loading required package: mlr3extralearners

Attaching package: ‘mlr3extralearners’

The following objects are masked from ‘package:mlr3’:

    lrn, lrns

Loading required package: mlr3pipelines
Loading required package: mlr3tuning
Loading required package: paradox
Loading required package: compboost
[2021-08-02 14:29:42] Loading new learner LearnerClassifCWB
[2021-08-02 14:29:42] Loading new learner LearnerClassifHCWB
[2021-08-02 14:29:42] Loading new learner
[2021-08-02 14:29:42] Loading tasks
[2021-08-02 14:29:45] Loading resampling
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=97]
### [bt]: Generating problem instance for problem '189866-fold5' ...
### [bt]: Applying algorithm 'evaluate-learner' on problem '189866-fold5' for job 97 (seed = 31512) ...
DEBUG [14:29:51.329] [mlr3]  Skip subsetting of task 'Task 189866: albert (Supervised Classification)' 
DEBUG [14:29:51.425] [mlr3]  Calling train method of Learner 'bin_cwb_b' on task 'Task 189866: albert (Supervised Classification)' with 340192 observations {learner: <LearnerClassifCWB/LearnerClassif/Learner/R6>}
   1/5000   risk = 0.69  oob_risk = 0.69   test_auc = 0.36   time = 4   val_auc = 0.36   
 125/5000   risk = 0.63  oob_risk = 0.62   test_auc = 0.29   time = 13878408   val_auc = 0.29   
 250/5000   risk = 0.63  oob_risk = 0.63   test_auc = 0.28   time = 27736870   val_auc = 0.28   
 375/5000   risk = 0.63  oob_risk = 0.63   test_auc = 0.28   time = 42078854   val_auc = 0.27   
 500/5000   risk = 0.64  oob_risk = 0.63   test_auc = 0.27   time = 56756424   val_auc = 0.27   
 625/5000   risk = 0.64  oob_risk = 0.64   test_auc = 0.27   time = 71596376   val_auc = 0.27   
 750/5000   risk = 0.64  oob_risk = 0.64   test_auc = 0.27   time = 86348303   val_auc = 0.27   
 875/5000   risk = 0.64  oob_risk = 0.64   test_auc = 0.27   time = 101217471   val_auc = 0.27   
1000/5000   risk = 0.64  oob_risk = 0.64   test_auc = 0.27   time = 116198933   val_auc = 0.27   
1125/5000   risk = 0.64  oob_risk = 0.64   test_auc = 0.27   time = 131318523   val_auc = 0.27   
1250/5000   risk = 0.65  oob_risk = 0.64   test_auc = 0.27   time = 146605795   val_auc = 0.27   
1375/5000   risk = 0.65  oob_risk = 0.64   test_auc = 0.27   time = 161672693   val_auc = 0.27   
1500/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 177060861   val_auc = 0.27   
1625/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 192216309   val_auc = 0.27   
1750/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 207191938   val_auc = 0.27   
1875/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 222403430   val_auc = 0.27   
2000/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 238129420   val_auc = 0.27   
2125/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 253416513   val_auc = 0.27   
2250/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 268863291   val_auc = 0.27   
2375/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 284440241   val_auc = 0.27   
2500/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 299756506   val_auc = 0.27   
2625/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 315683891   val_auc = 0.27   
2750/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 331486104   val_auc = 0.27   
2875/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 347123461   val_auc = 0.27   
3000/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 363312182   val_auc = 0.27   
3125/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 379981172   val_auc = 0.27   
3250/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 396602448   val_auc = 0.27   
3375/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 413250704   val_auc = 0.27   
3500/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 429233635   val_auc = 0.27   
3625/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.27   time = 445028594   val_auc = 0.27   
