### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/user/repos/cacb-batchtools/eq1'
[2021-07-25] Loading new learner
[2021-07-25 11:42:52] Loading tasks
[2021-07-25 11:42:55] Loading resampling
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=113]
### [bt]: Generating problem instance for problem '359994-fold3' ...
### [bt]: Applying algorithm 'evaluate-learner' on problem '359994-fold3' for job 113 (seed = 31528) ...
DEBUG [11:42:58.006] [mlr3]  Skip subsetting of task 'Task 359994: sf-police-incidents (Supervised Classification)' 
DEBUG [11:42:58.008] [mlr3]  Calling train method of Learner 'removeconstants_before.imputemedian_num.imputemode_fct.collapsefactors.removeconstants_after.acc_cwb' on task 'Task 359994: sf-police-incidents (Supervised Classification)' with 1772018 observations {learner: <GraphLearner/Learner/R6>}
DEBUG [11:42:58.027] Running PipeOp 'removeconstants_before$train()' {pipeop: <PipeOpRemoveConstants/PipeOpTaskPreprocSimple/PipeOpTaskPreproc/PipeOp/R6>, input: <list>}
DEBUG [11:42:59.085] Running PipeOp 'imputemedian_num$train()' {pipeop: <PipeOpImputeMedian/PipeOpImpute/PipeOp/R6>, input: <list>}
DEBUG [11:42:59.411] Running PipeOp 'imputemode_fct$train()' {pipeop: <PipeOpImputeMode/PipeOpImpute/PipeOp/R6>, input: <list>}
DEBUG [11:42:59.748] Running PipeOp 'collapsefactors$train()' {pipeop: <PipeOpCollapseFactors/PipeOpTaskPreprocSimple/PipeOpTaskPreproc/PipeOp/R6>, input: <list>}
DEBUG [11:43:00.516] Running PipeOp 'removeconstants_after$train()' {pipeop: <PipeOpRemoveConstants/PipeOpTaskPreprocSimple/PipeOpTaskPreproc/PipeOp/R6>, input: <list>}
DEBUG [11:43:02.289] Running PipeOp 'acc_cwb$train()' {pipeop: <PipeOpLearner/PipeOp/R6>, input: <list>}
DEBUG [11:43:02.300] [mlr3]  Skip subsetting of task 'Task 359994: sf-police-incidents (Supervised Classification)' 
DEBUG [11:43:02.304] [mlr3]  Calling train method of Learner 'acc_cwb' on task 'Task 359994: sf-police-incidents (Supervised Classification)' with 1772018 observations {learner: <LearnerClassifCompboost/LearnerClassif/Learner/R6>}
Warning in get_private(learner)$.train(task) :
  Number of cores 30 exceeds number of features 8. The number of cores are set to 8!
INFO  [11:43:03.192] [mlr3]  [LGCOMPBOOST] Running compboost with df 7.000000 and df_cat 7.000000 
   1/5000   risk = 0.37  time = 4   
 125/5000   risk = 0.38  time = 46798705   
 250/5000   risk = 0.41  time = 92758101   
 375/5000   risk = 0.43  time = 139150892   
 500/5000   risk = 0.44  time = 185857488   
 625/5000   risk = 0.45  time = 233066254   
 750/5000   risk = 0.46  time = 280437414   
 875/5000   risk = 0.47  time = 327561336   
1000/5000   risk = 0.47  time = 374593226   
1125/5000   risk = 0.48  time = 421697460   
1250/5000   risk = 0.48  time = 469997225   
1375/5000   risk = 0.48  time = 517840450   
1500/5000   risk = 0.48  time = 565889203   
1625/5000   risk = 0.49  time = 612479208   
1750/5000   risk = 0.49  time = 658856599   
1875/5000   risk = 0.49  time = 705215973   
2000/5000   risk = 0.49  time = 751453646   
2125/5000   risk = 0.49  time = 797780618   
2250/5000   risk = 0.49  time = 844028619   
2375/5000   risk = 0.49  time = 890418425   
2500/5000   risk = 0.49  time = 936931420   
2625/5000   risk = 0.49  time = 983902278   
2750/5000   risk = 0.49  time = 1030768848   
2875/5000   risk = 0.49  time = 1077529898   
3000/5000   risk = 0.49  time = 1124596998   
3125/5000   risk = 0.49  time = 1171513639   
3250/5000   risk = 0.49  time = 1218663213   
3375/5000   risk = 0.49  time = 1265064833   
3500/5000   risk = 0.49  time = 1311657381   
