### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/user/repos/cacb-batchtools/eq1'
Loading required package: data.table
Loading required package: R6
Loading required package: mlr3
Loading required package: mlr3learners
Loading required package: mlr3extralearners

Attaching package: ‘mlr3extralearners’

The following objects are masked from ‘package:mlr3’:

    lrn, lrns

Loading required package: mlr3pipelines
Loading required package: mlr3tuning
Loading required package: paradox
Loading required package: compboost
[2021-08-02 01:10:46] Loading new learner LearnerClassifCWB
[2021-08-02 01:10:46] Loading new learner LearnerClassifHCWB
[2021-08-02 01:10:46] Loading new learner
[2021-08-02 01:10:46] Loading tasks
[2021-08-02 01:10:50] Loading resampling
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=45]
### [bt]: Generating problem instance for problem '7592-fold4' ...
### [bt]: Applying algorithm 'evaluate-learner' on problem '7592-fold4' for job 45 (seed = 31460) ...
DEBUG [01:10:51.137] [mlr3]  Skip subsetting of task 'Task 7592: adult (Supervised Classification)' 
DEBUG [01:10:51.220] [mlr3]  Calling train method of Learner 'acc_hcwb' on task 'Task 7592: adult (Supervised Classification)' with 39074 observations {learner: <LearnerClassifHCWB/LearnerClassif/Learner/R6>}
Warning in checkCores(task, self$param_set$values$ncores) :
  Number of cores 30 exceeds number of features 14. The number of cores are set to 14!
   1/5000   risk = 0.53  oob_risk = 0.54   riskauc = 0.21   time = 3   val_auc = 0.22   
 125/5000   risk = 0.36  oob_risk = 0.36   riskauc = 0.1   time = 2184780   val_auc = 0.1   
 250/5000   risk = 0.32  oob_risk = 0.33   riskauc = 0.092   time = 4475990   val_auc = 0.095   
 375/5000   risk = 0.33  oob_risk = 0.34   riskauc = 0.089   time = 6733137   val_auc = 0.093   
 500/5000   risk = 0.34  oob_risk = 0.36   riskauc = 0.088   time = 9056110   val_auc = 0.093   
 625/5000   risk = 0.34  oob_risk = 0.37   riskauc = 0.087   time = 11385862   val_auc = 0.092   
 750/5000   risk = 0.35  oob_risk = 0.38   riskauc = 0.087   time = 13681822   val_auc = 0.091   
 875/5000   risk = 0.35  oob_risk = 0.38   riskauc = 0.086   time = 15959251   val_auc = 0.09   
1000/5000   risk = 0.35  oob_risk = 0.38   riskauc = 0.086   time = 18231218   val_auc = 0.09   
1125/5000   risk = 0.35  oob_risk = 0.38   riskauc = 0.085   time = 21022562   val_auc = 0.09   
1250/5000   risk = 0.36  oob_risk = 0.38   riskauc = 0.085   time = 23945625   val_auc = 0.09   
1375/5000   risk = 0.36  oob_risk = 0.39   riskauc = 0.085   time = 26933377   val_auc = 0.09   
1500/5000   risk = 0.36  oob_risk = 0.39   riskauc = 0.085   time = 30148921   val_auc = 0.09   
1625/5000   risk = 0.36  oob_risk = 0.39   riskauc = 0.086   time = 33309087   val_auc = 0.089   


Train 1673 iterations in 36 Seconds.
Final risk based on the train set: 0.36

