### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/user/repos/cacb-batchtools/eq1'
Loading required package: data.table
Loading required package: R6
Loading required package: mlr3
Loading required package: mlr3learners
Loading required package: mlr3extralearners

Attaching package: ‘mlr3extralearners’

The following objects are masked from ‘package:mlr3’:

    lrn, lrns

Loading required package: mlr3pipelines
Loading required package: mlr3tuning
Loading required package: paradox
Loading required package: compboost
[2021-08-02 01:12:28] Loading new learner LearnerClassifCWB
[2021-08-02 01:12:28] Loading new learner LearnerClassifHCWB
[2021-08-02 01:12:28] Loading new learner
[2021-08-02 01:12:28] Loading tasks
[2021-08-02 01:12:31] Loading resampling
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=46]
### [bt]: Generating problem instance for problem '7592-fold5' ...
### [bt]: Applying algorithm 'evaluate-learner' on problem '7592-fold5' for job 46 (seed = 31461) ...
DEBUG [01:12:32.685] [mlr3]  Skip subsetting of task 'Task 7592: adult (Supervised Classification)' 
DEBUG [01:12:32.767] [mlr3]  Calling train method of Learner 'bin_cwb_nb' on task 'Task 7592: adult (Supervised Classification)' with 39074 observations {learner: <LearnerClassifCWB/LearnerClassif/Learner/R6>}
Warning in checkCores(task, self$param_set$values$ncores) :
  Number of cores 30 exceeds number of features 14. The number of cores are set to 14!
   1/5000   risk = 0.53  oob_risk = 0.54   test_auc = 0.23   time = 3   val_auc = 0.22   
 125/5000   risk = 0.34  oob_risk = 0.35   test_auc = 0.089   time = 2166494   val_auc = 0.092   
 250/5000   risk = 0.36  oob_risk = 0.38   test_auc = 0.088   time = 4458780   val_auc = 0.09   
 375/5000   risk = 0.36  oob_risk = 0.39   test_auc = 0.087   time = 6816220   val_auc = 0.09   
 500/5000   risk = 0.37  oob_risk = 0.4   test_auc = 0.088   time = 9285295   val_auc = 0.092   
 625/5000   risk = 0.41  oob_risk = 0.43   test_auc = 0.096   time = 11831466   val_auc = 0.098   
 750/5000   risk = 0.48  oob_risk = 0.5   test_auc = 0.11   time = 14263837   val_auc = 0.11   
 875/5000   risk = 0.62  oob_risk = 0.68   test_auc = 0.12   time = 16718217   val_auc = 0.13   
1000/5000   risk = 0.82  oob_risk = 0.89   test_auc = 0.13   time = 19650886   val_auc = 0.13   
1125/5000   risk = 1.4  oob_risk = 1.4   test_auc = 0.16   time = 22920619   val_auc = 0.16   
1250/5000   risk = 2.1  oob_risk = 2.1   test_auc = 0.18   time = 26093558   val_auc = 0.17   
1375/5000   risk = 2.4  oob_risk = 2.5   test_auc = 0.16   time = 29393173   val_auc = 0.17   
1500/5000   risk = 3.4  oob_risk = 3.7   test_auc = 0.17   time = 32351541   val_auc = 0.18   
1625/5000   risk = 3.5  oob_risk = 4   test_auc = 0.15   time = 35926614   val_auc = 0.16   
1750/5000   risk = 5  oob_risk = 5.2   test_auc = 0.17   time = 39363243   val_auc = 0.17   
1875/5000   risk = 5  oob_risk = 5.1   test_auc = 0.17   time = 42565753   val_auc = 0.17   
2000/5000   risk = 5.8  oob_risk = 5.8   test_auc = 0.17   time = 45493803   val_auc = 0.17   
2125/5000   risk = 7  oob_risk = 7   test_auc = 0.18   time = 48556885   val_auc = 0.18   
2250/5000   risk = 8.8  oob_risk = 8.8   test_auc = 0.18   time = 51513092   val_auc = 0.19   
2375/5000   risk = 7.1  oob_risk = 7.5   test_auc = 0.15   time = 54364798   val_auc = 0.16   
2500/5000   risk = 8.5  oob_risk = 9   test_auc = 0.16   time = 57368095   val_auc = 0.16   
2625/5000   risk = 12  oob_risk = 12   test_auc = 0.18   time = 60444643   val_auc = 0.18   
2750/5000   risk = 11  oob_risk = inf   test_auc = 0.16   time = 63572623   val_auc = 0.17   
2875/5000   risk = 11  oob_risk = inf   test_auc = 0.14   time = 66867394   val_auc = 0.16   
3000/5000   risk = 13  oob_risk = inf   test_auc = 0.15   time = 70047740   val_auc = 0.16   
3125/5000   risk = inf  oob_risk = inf   test_auc = 0.16   time = 73469199   val_auc = 0.17   
3250/5000   risk = inf  oob_risk = inf   test_auc = 0.17   time = 77061049   val_auc = 0.17   
3375/5000   risk = inf  oob_risk = inf   test_auc = 0.17   time = 80053896   val_auc = 0.17   
3500/5000   risk = inf  oob_risk = inf   test_auc = 0.17   time = 83014022   val_auc = 0.17   
3625/5000   risk = inf  oob_risk = inf   test_auc = 0.18   time = 85871340   val_auc = 0.17   
3750/5000   risk = inf  oob_risk = inf   test_auc = 0.18   time = 88694208   val_auc = 0.17   
3875/5000   risk = inf  oob_risk = inf   test_auc = 0.18   time = 91626057   val_auc = 0.18   
4000/5000   risk = inf  oob_risk = inf   test_auc = 0.19   time = 94868334   val_auc = 0.19   
4125/5000   risk = inf  oob_risk = inf   test_auc = 0.19   time = 98232177   val_auc = 0.2   
4250/5000   risk = inf  oob_risk = inf   test_auc = 0.19   time = 101675635   val_auc = 0.2   
4375/5000   risk = inf  oob_risk = inf   test_auc = 0.18   time = 105447180   val_auc = 0.18   
4500/5000   risk = inf  oob_risk = inf   test_auc = 0.16   time = 108836866   val_auc = 0.17   
