### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/user/repos/cacb-batchtools/eq1'
Loading required package: data.table
Loading required package: R6
Loading required package: mlr3
Loading required package: mlr3learners
Loading required package: mlr3extralearners

Attaching package: ‘mlr3extralearners’

The following objects are masked from ‘package:mlr3’:

    lrn, lrns

Loading required package: mlr3pipelines
Loading required package: mlr3tuning
Loading required package: paradox
Loading required package: compboost
[2021-08-02 11:21:03] Loading new learner LearnerClassifCWB
[2021-08-02 11:21:03] Loading new learner LearnerClassifHCWB
[2021-08-02 11:21:03] Loading new learner
[2021-08-02 11:21:03] Loading tasks
[2021-08-02 11:21:06] Loading resampling
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=6]
### [bt]: Generating problem instance for problem 'spam-fold2' ...
### [bt]: Applying algorithm 'evaluate-learner' on problem 'spam-fold2' for job 6 (seed = 31421) ...
DEBUG [11:21:07.676] [mlr3]  Skip subsetting of task 'spam' 
DEBUG [11:21:07.767] [mlr3]  Calling train method of Learner 'bin_cwb_nb' on task 'spam' with 3680 observations {learner: <LearnerClassifCWB/LearnerClassif/Learner/R6>}
   1/5000   risk = 0.65  oob_risk = 0.65   test_auc = 0.2   time = 2   val_auc = 0.15   
 125/5000   risk = 0.18  oob_risk = 0.22   test_auc = 0.052   time = 1180815   val_auc = 0.03   
 250/5000   risk = 0.15  oob_risk = 0.22   test_auc = 0.051   time = 2464035   val_auc = 0.028   
 375/5000   risk = 0.14  oob_risk = 0.3   test_auc = 0.061   time = 3704575   val_auc = 0.029   
 500/5000   risk = 0.13  oob_risk = 0.48   test_auc = 0.069   time = 4951533   val_auc = 0.035   
 625/5000   risk = 0.12  oob_risk = 0.67   test_auc = 0.073   time = 6132700   val_auc = 0.038   
 750/5000   risk = 0.11  oob_risk = 0.87   test_auc = 0.073   time = 7326561   val_auc = 0.039   
 875/5000   risk = 0.11  oob_risk = 1   test_auc = 0.073   time = 8520803   val_auc = 0.038   
1000/5000   risk = 0.1  oob_risk = 1.2   test_auc = 0.074   time = 9754970   val_auc = 0.04   
1125/5000   risk = 0.1  oob_risk = 1.3   test_auc = 0.08   time = 11080012   val_auc = 0.041   
1250/5000   risk = 0.098  oob_risk = 1.5   test_auc = 0.081   time = 12367312   val_auc = 0.041   
1375/5000   risk = 0.095  oob_risk = 1.6   test_auc = 0.082   time = 13730352   val_auc = 0.043   
1500/5000   risk = 0.092  oob_risk = 1.7   test_auc = 0.083   time = 14943095   val_auc = 0.044   
1625/5000   risk = 0.09  oob_risk = 1.8   test_auc = 0.084   time = 16159060   val_auc = 0.045   
1750/5000   risk = 0.088  oob_risk = 1.9   test_auc = 0.084   time = 17421341   val_auc = 0.045   
1875/5000   risk = 0.086  oob_risk = 2   test_auc = 0.085   time = 18603761   val_auc = 0.045   
2000/5000   risk = 0.084  oob_risk = 2.1   test_auc = 0.085   time = 19870251   val_auc = 0.046   
2125/5000   risk = 0.082  oob_risk = 2.2   test_auc = 0.085   time = 21031240   val_auc = 0.046   
2250/5000   risk = 0.08  oob_risk = 2.3   test_auc = 0.085   time = 22236157   val_auc = 0.046   
2375/5000   risk = 0.079  oob_risk = 2.4   test_auc = 0.085   time = 23391246   val_auc = 0.046   
2500/5000   risk = 0.077  oob_risk = 2.5   test_auc = 0.086   time = 24538206   val_auc = 0.046   
2625/5000   risk = 0.076  oob_risk = 2.6   test_auc = 0.086   time = 25871997   val_auc = 0.047   
2750/5000   risk = 0.074  oob_risk = 2.7   test_auc = 0.086   time = 27107533   val_auc = 0.047   
2875/5000   risk = 0.073  oob_risk = 2.8   test_auc = 0.086   time = 28325072   val_auc = 0.047   
3000/5000   risk = 0.072  oob_risk = 2.9   test_auc = 0.086   time = 29566616   val_auc = 0.047   
3125/5000   risk = 0.07  oob_risk = 3   test_auc = 0.086   time = 30797529   val_auc = 0.047   
3250/5000   risk = 0.069  oob_risk = 3.1   test_auc = 0.086   time = 32027306   val_auc = 0.048   
3375/5000   risk = 0.068  oob_risk = 3.2   test_auc = 0.087   time = 33397489   val_auc = 0.048   
3500/5000   risk = 0.067  oob_risk = 3.2   test_auc = 0.087   time = 34655703   val_auc = 0.048   
3625/5000   risk = 0.066  oob_risk = 3.3   test_auc = 0.087   time = 35925715   val_auc = 0.048   
3750/5000   risk = 0.065  oob_risk = 3.4   test_auc = 0.087   time = 37346180   val_auc = 0.048   
3875/5000   risk = 0.065  oob_risk = 3.5   test_auc = 0.087   time = 38557305   val_auc = 0.049   
4000/5000   risk = 0.064  oob_risk = 3.6   test_auc = 0.087   time = 39879607   val_auc = 0.049   
4125/5000   risk = 0.063  oob_risk = 3.6   test_auc = 0.087   time = 41091022   val_auc = 0.049   
4250/5000   risk = 0.062  oob_risk = 3.7   test_auc = 0.088   time = 42341082   val_auc = 0.049   
4375/5000   risk = 0.061  oob_risk = 3.8   test_auc = 0.088   time = 43635340   val_auc = 0.049   
4500/5000   risk = 0.061  oob_risk = 3.9   test_auc = 0.088   time = 44893365   val_auc = 0.049   
4625/5000   risk = 0.06  oob_risk = 3.9   test_auc = 0.088   time = 46205811   val_auc = 0.049   
4750/5000   risk = 0.059  oob_risk = 4   test_auc = 0.087   time = 47493009   val_auc = 0.049   
4875/5000   risk = 0.059  oob_risk = 4.1   test_auc = 0.087   time = 48804116   val_auc = 0.049   
5000/5000   risk = 0.058  oob_risk = 4.2   test_auc = 0.087   time = 50053043   val_auc = 0.049   


Train 5000 iterations in 51 Seconds.
Final risk based on the train set: 0.058

DEBUG [11:22:02.092] [mlr3]  Learner 'bin_cwb_nb' on task 'spam' succeeded to fit a model {learner: <LearnerClassifCWB/LearnerClassif/Learner/R6>, result: <list>, messages: }

### [bt]: Job terminated successfully [batchtools job.id=6]
### [bt]: Calculation finished!
