### [bt]: This is batchtools v0.9.15
### [bt]: Starting calculation of 1 jobs
### [bt]: Setting working directory to '/home/user/repos/cacb-batchtools/eq1'
Loading required package: data.table
Loading required package: R6
Loading required package: mlr3
Loading required package: mlr3learners
Loading required package: mlr3extralearners

Attaching package: ‘mlr3extralearners’

The following objects are masked from ‘package:mlr3’:

    lrn, lrns

Loading required package: mlr3pipelines
Loading required package: mlr3tuning
Loading required package: paradox
Loading required package: compboost
[2021-08-02 11:22:11] Loading new learner LearnerClassifCWB
[2021-08-02 11:22:11] Loading new learner LearnerClassifHCWB
[2021-08-02 11:22:11] Loading new learner
[2021-08-02 11:22:11] Loading tasks
[2021-08-02 11:22:14] Loading resampling
### [bt]: Memory measurement disabled
### [bt]: Starting job [batchtools job.id=7]
### [bt]: Generating problem instance for problem 'spam-fold2' ...
### [bt]: Applying algorithm 'evaluate-learner' on problem 'spam-fold2' for job 7 (seed = 31422) ...
DEBUG [11:22:15.733] [mlr3]  Skip subsetting of task 'spam' 
DEBUG [11:22:15.815] [mlr3]  Calling train method of Learner 'bin_cwb_b' on task 'spam' with 3680 observations {learner: <LearnerClassifCWB/LearnerClassif/Learner/R6>}
   1/5000   risk = 0.66  oob_risk = 0.72   test_auc = 0.2   time = 2   val_auc = 0.15   
 125/5000   risk = 0.2  oob_risk = 0.26   test_auc = 0.06   time = 1148232   val_auc = 0.037   
 250/5000   risk = 0.17  oob_risk = inf   test_auc = 0.074   time = 2265219   val_auc = 0.041   
 375/5000   risk = 0.15  oob_risk = inf   test_auc = 0.077   time = 3415879   val_auc = 0.042   
 500/5000   risk = 0.14  oob_risk = inf   test_auc = 0.079   time = 4621196   val_auc = 0.044   
 625/5000   risk = 0.13  oob_risk = inf   test_auc = 0.081   time = 5837517   val_auc = 0.045   
 750/5000   risk = 0.13  oob_risk = inf   test_auc = 0.081   time = 6974060   val_auc = 0.048   
 875/5000   risk = 0.12  oob_risk = inf   test_auc = 0.081   time = 8085183   val_auc = 0.049   
1000/5000   risk = 0.12  oob_risk = inf   test_auc = 0.082   time = 9246181   val_auc = 0.05   
1125/5000   risk = 0.12  oob_risk = inf   test_auc = 0.082   time = 10444890   val_auc = 0.05   
1250/5000   risk = 0.11  oob_risk = inf   test_auc = 0.079   time = 11637810   val_auc = 0.051   
1375/5000   risk = 0.11  oob_risk = inf   test_auc = 0.078   time = 13164577   val_auc = 0.051   
1500/5000   risk = 0.11  oob_risk = inf   test_auc = 0.077   time = 14350954   val_auc = 0.052   
1625/5000   risk = 0.1  oob_risk = inf   test_auc = 0.077   time = 15547281   val_auc = 0.052   
1750/5000   risk = 0.1  oob_risk = inf   test_auc = 0.076   time = 16823279   val_auc = 0.052   
1875/5000   risk = 0.097  oob_risk = inf   test_auc = 0.075   time = 18028819   val_auc = 0.052   
2000/5000   risk = 0.095  oob_risk = inf   test_auc = 0.076   time = 19220371   val_auc = 0.054   
2125/5000   risk = 0.093  oob_risk = inf   test_auc = 0.077   time = 20376676   val_auc = 0.054   
2250/5000   risk = 0.091  oob_risk = inf   test_auc = 0.078   time = 21554765   val_auc = 0.054   
2375/5000   risk = 0.089  oob_risk = inf   test_auc = 0.079   time = 22747506   val_auc = 0.054   
2500/5000   risk = 0.087  oob_risk = inf   test_auc = 0.079   time = 23881664   val_auc = 0.055   
2625/5000   risk = 0.086  oob_risk = inf   test_auc = 0.079   time = 25149728   val_auc = 0.056   
2750/5000   risk = 0.084  oob_risk = inf   test_auc = 0.079   time = 26309212   val_auc = 0.056   
2875/5000   risk = 0.083  oob_risk = inf   test_auc = 0.079   time = 27500900   val_auc = 0.056   
3000/5000   risk = 0.081  oob_risk = inf   test_auc = 0.079   time = 28692778   val_auc = 0.056   
3125/5000   risk = 0.08  oob_risk = inf   test_auc = 0.079   time = 29964663   val_auc = 0.056   
3250/5000   risk = 0.079  oob_risk = inf   test_auc = 0.079   time = 31288366   val_auc = 0.056   
3375/5000   risk = 0.078  oob_risk = inf   test_auc = 0.08   time = 32513652   val_auc = 0.056   
3500/5000   risk = 0.077  oob_risk = inf   test_auc = 0.08   time = 33733183   val_auc = 0.057   
3625/5000   risk = 0.076  oob_risk = inf   test_auc = 0.08   time = 34980328   val_auc = 0.057   
3750/5000   risk = 0.075  oob_risk = inf   test_auc = 0.081   time = 36198314   val_auc = 0.057   
3875/5000   risk = 0.074  oob_risk = inf   test_auc = 0.081   time = 37434984   val_auc = 0.057   
4000/5000   risk = 0.073  oob_risk = inf   test_auc = 0.081   time = 38660777   val_auc = 0.057   
4125/5000   risk = 0.072  oob_risk = inf   test_auc = 0.081   time = 39869322   val_auc = 0.057   
4250/5000   risk = 0.071  oob_risk = inf   test_auc = 0.081   time = 41065136   val_auc = 0.058   
4375/5000   risk = 0.07  oob_risk = inf   test_auc = 0.082   time = 42305218   val_auc = 0.058   
4500/5000   risk = 0.069  oob_risk = inf   test_auc = 0.082   time = 43559783   val_auc = 0.058   
4625/5000   risk = 0.069  oob_risk = inf   test_auc = 0.082   time = 44783341   val_auc = 0.058   
4750/5000   risk = 0.068  oob_risk = inf   test_auc = 0.082   time = 45940706   val_auc = 0.059   
4875/5000   risk = 0.067  oob_risk = inf   test_auc = 0.082   time = 47112875   val_auc = 0.059   
5000/5000   risk = 0.067  oob_risk = inf   test_auc = 0.082   time = 48437897   val_auc = 0.059   


Train 5000 iterations in 49 Seconds.
Final risk based on the train set: 0.067

DEBUG [11:23:08.527] [mlr3]  Learner 'bin_cwb_b' on task 'spam' succeeded to fit a model {learner: <LearnerClassifCWB/LearnerClassif/Learner/R6>, result: <list>, messages: }

### [bt]: Job terminated successfully [batchtools job.id=7]
### [bt]: Calculation finished!
